Age group (years),Number of cases with case reports,Males,Females,Proportion of cases,Proportion female cases,Proportion male cases,n
≤19,2061,929,1132,5.50%,5.50%,5.51%,37444
20-29,4644,2047,2597,12.40%,12.61%,12.15%,
30-39,5346,2421,2925,14.28%,14.20%,14.37%,
40-49,5947,2654,3293,15.88%,15.99%,15.75%,
50-59,6195,2826,3369,16.54%,16.36%,16.78%,
60-69,4401,2041,2360,11.75%,11.46%,12.12%,
70-79,2958,1361,1597,7.90%,7.75%,8.08%,
80+,5892,2567,3325,15.74%,16.14%,15.24%,
