Age group (years),Number of cases with case reports,Males,Females,Proportion of cases,Proportion female cases,Proportion male cases,n
≤19,1019,471,548,4.70%,4.60%,4.82%,21682
20-29,2590,1138,1452,11.95%,12.19%,11.65%,
30-39,2931,1326,1605,13.52%,13.47%,13.57%,
40-49,3403,1575,1828,15.70%,15.34%,16.12%,
50-59,3728,1710,2018,17.19%,16.94%,17.51%,
60-69,2865,1314,1551,13.21%,13.02%,13.45%,
70-79,1897,826,1071,8.75%,8.99%,8.46%,
80+,3249,1408,1841,14.98%,15.45%,14.41%,
