date,new,cumulative,doubleFlagTest,doubleFlagLabel,shaded
2020-01-15,3,3,1,,14
2020-01-16,0,3,1,,
2020-01-17,0,3,0,,
2020-01-18,0,3,0,,
2020-01-19,0,3,0,,
2020-01-20,0,3,0,,
2020-01-21,1,4,0,,
2020-01-22,2,6,1,,
2020-01-23,0,6,0,,
2020-01-24,2,8,0,,
2020-01-25,0,8,0,,
2020-01-26,0,8,0,,
2020-01-27,1,9,0,,
2020-01-28,0,9,0,,
2020-01-29,0,9,0,,
2020-01-30,0,9,0,,
2020-01-31,0,9,0,,
2020-02-01,3,12,1,,
2020-02-02,0,12,0,,
2020-02-03,1,13,0,,
2020-02-04,2,15,0,,
2020-02-05,2,17,0,,
2020-02-06,0,17,0,,
2020-02-07,1,18,0,,
2020-02-08,1,19,0,,
2020-02-09,1,20,0,,
2020-02-10,2,22,0,,
2020-02-11,0,22,0,,
2020-02-12,1,23,0,,
2020-02-13,1,24,1,,
2020-02-14,4,28,0,,
2020-02-15,3,31,0,,
2020-02-16,1,32,0,,
2020-02-17,1,33,0,,
2020-02-18,3,36,0,,
2020-02-19,3,39,0,,
2020-02-20,7,46,0,,
2020-02-21,3,49,1,,
2020-02-22,6,55,0,,
2020-02-23,16,71,0,,
2020-02-24,13,84,0,,
2020-02-25,16,100,1,,
2020-02-26,13,113,0,,
2020-02-27,22,135,0,,
2020-02-28,33,168,0,,
2020-02-29,27,195,0,,
2020-03-01,44,239,1,,
2020-03-02,42,281,0,,
2020-03-03,51,332,0,,
2020-03-04,46,378,0,,
2020-03-05,59,437,0,,
2020-03-06,78,515,1,,
2020-03-07,86,601,0,,
2020-03-08,116,717,0,,
2020-03-09,204,921,0,,
2020-03-10,225,1146,1,,
2020-03-11,267,1413,0,,
2020-03-12,351,1764,0,,
2020-03-13,430,2194,0,,
2020-03-14,421,2615,1,,
2020-03-15,549,3164,0,,
2020-03-16,768,3932,0,,
2020-03-17,808,4740,0,,
2020-03-18,904,5644,1,,
2020-03-19,761,6405,0,,
2020-03-20,936,7341,0,,
2020-03-21,823,8164,0,,
2020-03-22,784,8948,0,,
2020-03-23,955,9903,0,,
2020-03-24,859,10762,0,,
2020-03-25,878,11640,1,,
2020-03-26,805,12445,0,,
2020-03-27,880,13325,0,,
2020-03-28,865,14190,0,,
2020-03-29,757,14947,0,,
2020-03-30,997,15944,0,,
2020-03-31,847,16791,0,,
2020-04-01,1144,17935,0,,
2020-04-02,1029,18964,0,,
2020-04-03,1221,20185,0,,
2020-04-04,1045,21230,0,,
2020-04-05,988,22218,0,,
2020-04-06,1272,23490,1,,
2020-04-07,1159,24649,0,,
2020-04-08,1278,25927,0,,
2020-04-09,1347,27274,0,,
2020-04-10,1564,28838,0,,
2020-04-11,1523,30361,0,,
2020-04-12,1357,31718,0,,
2020-04-13,1952,33670,0,,
2020-04-14,1683,35353,0,,
2020-04-15,1784,37137,0,,
2020-04-16,1851,38988,0,,
2020-04-17,1746,40734,0,,
2020-04-18,1542,42276,0,,
2020-04-19,1161,43437,0,,
2020-04-20,1726,45163,0,,
2020-04-21,1340,46503,0,,
2020-04-22,1411,47914,0,,
2020-04-23,1467,49381,0,,
2020-04-24,1445,50826,0,,
2020-04-25,1304,52130,1,,
2020-04-26,1231,53361,0,,
2020-04-27,1574,54935,0,,
2020-04-28,1368,56303,0,,
2020-04-29,1371,57674,0,,
2020-04-30,1266,58940,0,,
2020-05-01,1344,60284,0,,
2020-05-02,960,61244,0,,
2020-05-03,922,62166,0,,
2020-05-04,1198,63364,0,,
2020-05-05,1119,64483,0,,
2020-05-06,960,65443,0,,
2020-05-07,1014,66457,0,,
2020-05-08,1015,67472,0,,
2020-05-09,891,68363,0,,
2020-05-10,735,69098,0,,
2020-05-11,1083,70181,0,,
2020-05-12,909,71090,0,,
2020-05-13,936,72026,0,,
2020-05-14,935,72961,0,,
2020-05-15,1044,74005,0,,
2020-05-16,810,74815,0,,
2020-05-17,718,75533,0,,
2020-05-18,773,76306,0,,
2020-05-19,688,76994,0,,
2020-05-20,724,77718,0,,
2020-05-21,550,78268,0,,
2020-05-22,435,78703,0,,
2020-05-23,277,78980,0,,
2020-05-24,184,79164,0,,
2020-05-25,38,79202,0,,
2020-05-26,3,79205,0,,
2020-05-27,199,79404,0,,
2020-05-28,112,79516,0,,
2020-05-29,26,79542,,,
2020-05-30,1,79543,,,
