date,new,domestic-contactWithCase,domestic-contactWithTraveller,domestic-unknown,internationalTravel,infopending,cumulative,doubleFlagTest,shaded
2020-05-19,900,533,3,322,2,40,81069,0,
2020-05-20,1017,581,1,381,1,53,82086,0,
2020-05-21,805,489,3,272,2,39,82891,0,
2020-05-22,795,455,0,312,4,22,83686,0,
2020-05-23,684,436,1,213,3,31,84370,0,
2020-05-24,628,369,,231,1,25,84998,0,
2020-05-25,776,441,2,293,,40,85774,0,
2020-05-26,710,410,1,254,1,43,86484,0,
2020-05-27,691,381,2,281,1,25,87175,1,
2020-05-28,556,317,2,206,1,30,87731,0,
2020-05-29,667,337,,236,3,90,88398,0,
2020-05-30,519,279,2,170,1,64,88917,0,
2020-05-31,395,221,,131,3,39,89312,0,
2020-06-01,602,288,5,220,4,85,89914,0,
2020-06-02,476,266,1,140,6,63,90390,0,
2020-06-03,430,237,3,132,1,57,90820,0,
2020-06-04,421,202,4,155,2,58,91241,0,
2020-06-05,414,192,1,120,1,98,91655,0,
2020-06-06,330,160,1,82,2,84,91985,0,
2020-06-07,267,135,1,88,0,41,92252,0,
2020-06-08,348,182,5,95,6,58,92600,0,
2020-06-09,285,133,3,97,2,49,92885,0,
2020-06-10,327,142,7,99,1,76,93212,0,
2020-06-11,284,160,3,84,2,27,93496,0,
2020-06-12,236,106,7,68,3,48,93732,0,
2020-06-13,139,46,2,55,0,36,93871,0,
2020-06-14,109,30,0,40,2,37,93980,0,
2020-06-15,98,12,1,42,0,41,94078,0,
2020-06-16,32,8,0,4,0,20,94110,0,
2020-06-17,2,0,0,2,0,0,94112,0,
